,perc_known_unique_lemmata,perc_known_words,page_known_lemmata_mean,page_known_lemmata_std,page_known_words_mean,page_known_words_std
curtius,0.03493948390043389,0.9735515797487628,0.03697191139529573,0.0015836253434652482,0.9783010941057306,0.011285182760218707
germanicus,0.13043478260869565,0.9441136051305543,0.1174718196457327,0.006663340204895518,0.9296423500933321,0.01807502527526766
carmina_pripea,0.12555654496883348,0.917743460447526,0.11914514692787175,0.0062814575560279215,0.907912229420249,0.02094035503211415
pliny_younger,0.03286474164133739,0.9653736522493493,0.028590425531914897,0.002534866596082479,0.9601084735702061,0.01261379903957032
pliny_maior,0.032264779350541214,0.9217687915564674,0.021919233971690256,0.006634424301954776,0.9468762703660423,0.024024086289158586
persius,0.08805790108564536,0.8794780545670225,0.08763570566948131,0.0045937452410927905,0.8879598820405613,0.03342747526087604
quintilian_inst,0.024406441972438984,0.9703362144603954,0.023941557363440148,0.0014994284449444647,0.968358020080526,0.013293145932604401
asconius,0.058174523570712136,0.9712864571557767,0.05737211634904714,0.0052030942224043876,0.976710913026794,0.012060350459055551
valerius_flaccus,0.040170940170940174,0.9533301360829687,0.0423931623931624,0.0017691367175225097,0.9657862465619631,0.017959879117957323
calpurnius_siculus,0.10924891371818746,0.9207816768228619,0.10279329608938545,0.005180048676604607,0.9202916030060801,0.02424687081467161
quintilian_decl_mai,0.040100882723833546,0.9747202526456432,0.03914810144318341,0.0017943461503244647,0.9730194218028438,0.009913680151174211
ovid,0.023574144486692015,0.9614235962971415,0.02167300380228137,0.0015706690018000152,0.9708742348869688,0.01468229446649614
manilius,0.04539385847797063,0.967024450730422,0.047363150867823764,0.005364286773892893,0.9644339291896926,0.015013306106751988
cicero,0.012982126058325494,0.974938390615161,0.012417685794920039,0.001779951827697507,0.9873833745112826,0.009421319531750759
sallust,0.059349302824454775,0.9795436929194891,0.055452270289596,0.002609939220593492,0.9823333262586165,0.008853373398412237
propertius,0.04705525197328476,0.9552487398641245,0.03925318761384335,0.006759803101644265,0.972148267675232,0.01050311510827623
petronius,0.0381108253448679,0.9333598208480821,0.03536357259761515,0.0032998316989180363,0.9271873376241339,0.03666006562781437
tibullus,0.05691418408181414,0.9676496872207327,0.06305024455313472,0.005165508486067623,0.968039265352042,0.014910883760380779
vellius,0.04554455445544554,0.9654784607109677,0.04577557755775578,0.004400838815814859,0.9645075488883779,0.01610301815925598
tacitus,0.022418058132343845,0.9563518379862374,0.025850340136054417,0.001801423829762463,0.9545169795206865,0.012182383053823112
columella,0.019499048826886495,0.9141897704881636,0.022352568167406467,0.001762453025959074,0.9147233414508676,0.03826171869671972
suplpicia,0.8136645962732919,0.9836065573770492,0.8229813664596273,0.011866442965554558,0.9872043882229511,0.00565561201973154
varro,0.02127659574468085,0.9406424091043037,0.020934650455927052,0.0028276769888054137,0.9439493358566903,0.030211252645344022
martial,0.020012911555842477,0.9248442135021601,0.023692704970949,0.0027159488320034116,0.9280417190613031,0.041078561418891026
lucan,0.027328203767577608,0.9621742512640996,0.02934465375431149,0.00305570284932618,0.9512277453573625,0.0390184776634248
vitruvius,0.031226199543031227,0.9252127519678383,0.02899212998222899,0.0028469856854787894,0.9235206658554453,0.03090595144702179
cato,0.05102040816326531,0.8946005917159763,0.04911873840445269,0.005678551558032492,0.9346578709391545,0.03342026772499669
livy,0.020644645711241343,0.9748794334900189,0.018114011720831113,0.001441914608707977,0.9777458229261509,0.017062774861284567
apuleius,0.017486061834769386,0.9111518966878096,0.018575772934617332,0.0014214195298915522,0.8994846334015177,0.03258267499600628
vergil,0.02856598743096553,0.9453473167347156,0.023233669777185297,0.005252138164347355,0.9258531999404891,0.03482549865169476
horace,0.028454492301695576,0.9326676528599606,0.026096277528746832,0.0031647894010188326,0.9417852509903465,0.01894401571088828
grattius,0.10270700636942676,0.9407224451991355,0.11886942675159236,0.008158788777371629,0.94801462862305,0.022502151259123467
statius,0.027021955338712704,0.9429930402546077,0.028860949521486205,0.0027729422348757174,0.9551829087901311,0.014935034773496125
nepos,0.05099857346647646,0.9796440574396578,0.04964336661911555,0.0029270020725653614,0.9807521884328816,0.012691666894062434
juvenal,0.038205128205128204,0.9328054782794779,0.038102564102564095,0.0016977379853586503,0.9251151941261352,0.028944048864601567
frontinus,0.03984611156911239,0.9562663396055902,0.03492717779609782,0.004191860333902284,0.955134362960032,0.017208249018474415
valerius_maximus,0.030224843346848506,0.9611808264089085,0.029819388131220047,0.0018278033569063673,0.9541836106319128,0.01301415478201488
pomponius_mela,0.06457739791073125,0.9690489997100609,0.06581196581196581,0.007325994764255599,0.967608664968181,0.011571192928816337
silius,0.03598645215918713,0.9471950547058653,0.032662997459779845,0.002324779513089189,0.9537953009555628,0.01960598720971101
corpus_caesarianum,0.04838709677419355,0.9763317228304079,0.04811256005490734,0.003974861286361086,0.9807957819510499,0.017038335817888585
suetonius,0.024870952604411075,0.9338227535161373,0.023887734352304978,0.001601124812198419,0.9351588556614377,0.019228211198549547
hyginus,0.03605855051767226,0.9586222838650024,0.0414851838629061,0.005947922903355153,0.9514403456292315,0.018900927398722768
seneca_maior,0.029644268774703556,0.9739230860559747,0.030215195432586738,0.0032185817585551604,0.9743346157702495,0.013021008211800592
sen,0.017447535383113714,0.9694520471245401,0.017496339677891652,0.001396689899585572,0.9703207485597221,0.015979831069777486
caesar,0.03730715287517532,0.9786132563863192,0.039018232819074336,0.003484250374012397,0.9734616278751662,0.02628945638728408
catullus,0.05306859205776173,0.9178907410463772,0.05,0.004535681225101185,0.932281157527244,0.029363113187523052
ilias_latina,0.10539682539682539,0.9686160178357057,0.1059047619047619,0.0033331821583255103,0.9752155346698175,0.01325571249134621
aug_res_gestae,0.18512898330804248,0.9518689196108551,0.16980273141122915,0.02479024028266996,0.9694288943469124,0.015877705346022085
