,perc_known_unique_lemmata,perc_known_words,page_known_lemmata_mean,page_known_lemmata_std,page_known_words_mean,page_known_words_std
tacitus,0.021645021645021644,0.9308803080543374,0.025,0.0015691688648382814,0.9295624082523133,0.01676163241415002
columella,0.017755231452124286,0.882182073839721,0.021290424857324033,0.0018145148994849996,0.8844417584519751,0.04444181711368968
suplpicia,0.782608695652174,0.9590163934426229,0.7919254658385093,0.011866442965554511,0.9583980517580166,0.004107793472691739
varro,0.02127659574468085,0.9199865287736975,0.020440729483282676,0.002459647919398102,0.9305605505894367,0.04042785361542807
martial,0.019367333763718526,0.8971709570168628,0.022874973100925327,0.0026895631369887865,0.903671413982442,0.04358234174618701
lucan,0.025470947200849033,0.9373784519642162,0.02838949323427965,0.0030736196248500034,0.9250763801140127,0.03488488243065446
vitruvius,0.03021071337903021,0.89461028348143,0.027621223660827622,0.003088063203764401,0.882557743289785,0.04275328777245884
cato,0.04916512059369202,0.8547337278106509,0.04749536178107607,0.004643781451125725,0.9113403894906696,0.04217550767307842
livy,0.019712306872669155,0.9593104380510522,0.017581246670218435,0.0012522812225405607,0.9586712066056329,0.01777967452182154
apuleius,0.016725798276735936,0.8786861549873047,0.017486061834769386,0.0011926960593765935,0.8578548603751548,0.03456220291096195
vergil,0.02799466768234622,0.9210231366583941,0.022300514187773755,0.005229613252701055,0.8934089343324372,0.044356377988867844
horace,0.027674917170142272,0.9040433925049309,0.025199766127460534,0.003213147783103406,0.914033594923044,0.0209414172716394
grattius,0.09872611464968153,0.9147885149737573,0.11512738853503186,0.008457497913942355,0.9229881921483367,0.030411619020591876
statius,0.025520735597673108,0.9144079553270614,0.027566147494839554,0.0025735768006036296,0.9194213522152823,0.015087262433664978
nepos,0.04992867332382311,0.9669263672471738,0.04893009985734665,0.0029701373485958643,0.9716531185815158,0.013683447301948164
juvenal,0.03717948717948718,0.9069976460517869,0.036717948717948715,0.0016845197646827542,0.8982172900060273,0.02702925908231309
frontinus,0.038746908491343775,0.9329632379046574,0.03391041494916185,0.004039103935514839,0.9340757307005398,0.016406459018253352
valerius_maximus,0.028750460744563215,0.9373551523373467,0.02880575009214891,0.0018522619106896036,0.9287998707281758,0.02096291640708606
pomponius_mela,0.06220322886989554,0.9484633227022325,0.06381766381766382,0.007132629717236621,0.9474855999218045,0.014405444898903785
silius,0.03492802709568162,0.9180137562759382,0.031604572396274344,0.002406235746567381,0.9277121430807937,0.024137769739276588
corpus_caesarianum,0.04632807137954702,0.9618066173322732,0.047014413177762525,0.004100856347643009,0.9664590566593357,0.02138714693215999
suetonius,0.023776005005474738,0.9061157423459005,0.022882170230832832,0.0016420793341711997,0.9052536364382274,0.02489575152439299
hyginus,0.034987504462691894,0.9404596790172379,0.0403070332024277,0.006282760175392702,0.9303577473078308,0.025926591620559648
seneca_maior,0.027887571365832236,0.955898066897646,0.029336846728151077,0.0030666825208776616,0.9540143255384399,0.018974010748579562
sen,0.01683748169838946,0.9516403674317653,0.01708150317227916,0.0012738294910823024,0.9555981865268828,0.01515338767182698
caesar,0.036746143057503504,0.9648080568050016,0.03809256661991585,0.003173054865050047,0.9582616325104425,0.027368391989708758
catullus,0.05018050541516245,0.89494966166034,0.04848375451263538,0.004231841573460488,0.9125022152917264,0.03258596676930375
ilias_latina,0.10222222222222223,0.948036357400103,0.10292063492063493,0.0035742140812793817,0.953981488612959,0.014135219048023147
aug_res_gestae,0.18057663125948406,0.9303635432667691,0.1661608497723824,0.02330411022090122,0.9566145785120153,0.018285241406883458
