,perc_known_unique_lemmata,perc_known_words,page_known_lemmata_mean,page_known_lemmata_std,page_known_words_mean,page_known_words_std
curtius,0.023978077186572275,0.742687476208603,0.02626170358529345,0.001400293191756647,0.7605567113797158,0.036176459427587314
germanicus,0.08132045088566828,0.6429225836005497,0.07391304347826087,0.00775458881019936,0.6371180645389951,0.04399752659062563
carmina_pripea,0.08014247551202137,0.6870469587141507,0.08165627782724844,0.0059073938702126376,0.6885151871090402,0.0344670647314802
pliny_younger,0.022416413373860182,0.7772834304126905,0.020155775075987842,0.0010993644601998696,0.7496469650549205,0.04347282288246296
pliny_maior,0.020399666944213156,0.6929085201572039,0.014966694421315572,0.005253263874858428,0.7309546510204166,0.061079706524879096
persius,0.0548854041013269,0.6061684460260973,0.053437876960193,0.005395963629998804,0.6036855491242249,0.06287864931868442
quintilian_inst,0.01859538435995351,0.8160247913827543,0.01851236925120372,0.0009486996265755699,0.8212181742824294,0.021574848487767476
asconius,0.044132397191574725,0.7892079282538247,0.04438314944834504,0.003173774790831844,0.8104401594828557,0.038747934808319305
valerius_flaccus,0.02792022792022792,0.6778070859061207,0.029857549857549858,0.002112108603173863,0.7318693420979298,0.044815009236426034
calpurnius_siculus,0.0595903165735568,0.6381592771590671,0.061576660459342035,0.00675886162076534,0.6128407093797593,0.06418110494220398
quintilian_decl_mai,0.029003783102143757,0.7708576894462749,0.02824716267339218,0.001475403848237431,0.7760395981875075,0.02550254943131904
ovid,0.0179467680608365,0.7325498328157402,0.015330798479087453,0.0014898733866169982,0.7508587899215949,0.05661034935645562
manilius,0.02870493991989319,0.7267020575812764,0.032543391188251,0.0040585308864193315,0.7240590690637367,0.06214098815824993
cicero,0.010536218250235183,0.8283838517332255,0.009877704609595485,0.001209126548489906,0.8548252160743788,0.03849822251512819
sallust,0.042188058634250986,0.7919657601186264,0.04068644976760814,0.002002145155523775,0.794495929609958,0.0264696093145471
propertius,0.03217972070431087,0.708174446635985,0.028445658773527626,0.004299843946853507,0.7655946429557676,0.045922697677620736
petronius,0.021510404489127895,0.6930217438416528,0.021978021978021976,0.0032941320560218317,0.6284385820203461,0.04592495132911112
tibullus,0.03423743886171632,0.6833780160857909,0.04121831925300133,0.0043477263729371765,0.697170099789378,0.052160431609303066
vellius,0.030033003300330034,0.743093247273972,0.031320132013201316,0.0031045915353449275,0.7249365457124497,0.02423899726450107
tacitus,0.015460729746444033,0.701657931329554,0.01694495980210266,0.0012138396058373854,0.687355619130188,0.03556860941928771
columella,0.01125554850982879,0.6482483649247449,0.014632213062777427,0.0018542455131481833,0.6686740146578505,0.06440335215792935
