,perc_known_unique_lemmata,perc_known_words,page_known_lemmata_mean,page_known_lemmata_std,page_known_words_mean,page_known_words_std
suplpicia,0.5838509316770186,0.7827868852459017,0.5931677018633541,0.014231601537129943,0.7877420460721601,0.007420880194757337
varro,0.017667173252279636,0.7552867546973886,0.01510258358662614,0.002021637220155088,0.7662265307903893,0.06793077074518163
martial,0.01312674843985367,0.6902785243584384,0.016268560361523566,0.0019058824898200582,0.6979533538937288,0.04689554420381491
lucan,0.015654019633855133,0.693869117075068,0.018811355797293712,0.0026939041068396526,0.6488610296479791,0.06926954928069541
vitruvius,0.019801980198019802,0.6994984125791363,0.019878141660319877,0.002741460020765041,0.6959091050171893,0.05897917935811258
cato,0.03200371057513915,0.6352810650887574,0.03404452690166976,0.004007163463164225,0.7036318324822618,0.07940709980130627
livy,0.013851891315929675,0.7761016683091038,0.013185935002663827,0.001098323288656809,0.7814515491892541,0.045368048753854084
apuleius,0.010010136847440445,0.6579590517036431,0.0112772427774962,0.001066177595943367,0.6172135205220631,0.06649197296990107
vergil,0.019234431536850123,0.666639980786166,0.014206817749000192,0.0040641859216436526,0.6220746534189975,0.07540150885214535
horace,0.018514909374390955,0.6641518737672584,0.017092184759306177,0.002673740981394777,0.6625078201437702,0.0461815886270374
grattius,0.07165605095541401,0.6745909231244211,0.07850318471337579,0.006951872596478685,0.6811333567431312,0.04813731383676242
statius,0.01688872208669544,0.6317513610557363,0.018052167386001128,0.0015469666988571923,0.6497242781139413,0.050057918709702734
nepos,0.04208273894436519,0.824625725633975,0.03844507845934379,0.0025308409413994527,0.8299461081053436,0.017326414874933364
juvenal,0.023076923076923078,0.6769099079820244,0.025076923076923073,0.0030312854781808507,0.6697656230631952,0.05751476747314723
frontinus,0.028029678483099753,0.709324468256786,0.02341302555647156,0.0034449978442901504,0.711636081440709,0.03421694725020948
valerius_maximus,0.01935127165499447,0.7080436380080267,0.019885735348322893,0.0014684963591493816,0.6981721648277263,0.04119155702562822
pomponius_mela,0.04036087369420703,0.7327486227892143,0.042972459639126305,0.003957106676163469,0.7156095259575158,0.0311928467169071
silius,0.02011007620660457,0.6313230983544708,0.01955969517358171,0.001974920201471736,0.6239783356849476,0.06200225282312251
corpus_caesarianum,0.03225806451612903,0.7731637208733411,0.0346945778997941,0.0038808668822863613,0.7872544476831509,0.028354430303532657
suetonius,0.017206319411856717,0.6827713040987684,0.015932604857992,0.0011688406364659574,0.6933823993181351,0.02101558709971975
hyginus,0.02534808996786862,0.7696981705303481,0.030274901820778292,0.005863752993258924,0.7583631709980803,0.0500924869704236
seneca_maior,0.02217830478700044,0.793057669267882,0.0222880983750549,0.0018587247038919182,0.7836257536801122,0.051680394586723036
sen,0.013299170326988775,0.7731019922864361,0.01240849194729136,0.0008697063634551847,0.7752998530704857,0.050203657728831425
caesar,0.02776998597475456,0.7983111261987609,0.028695652173913046,0.002931376955263224,0.7829613047415508,0.05039458635136923
catullus,0.036101083032490974,0.6940089123617759,0.03462093862815885,0.0028077731921084125,0.7067570002995268,0.05850252115846028
ilias_latina,0.07428571428571429,0.6796432858857829,0.06717460317460316,0.0067660021865433495,0.6843165557842291,0.049738466912258694
aug_res_gestae,0.11987860394537178,0.7403993855606759,0.11911987860394539,0.016248063771144863,0.7721048145416943,0.030810087284863865
