,count,global_frequency,local_frequency,rareness
inde,2857,0.0007273841945550316,0.0007273841945550318,-14.452111508663537
littera,2851,0.0007258566113673066,0.0007258566113673067,-14.456316135299739
uoco,2835,0.0007217830562000401,0.0007217830562000402,-14.467571880801378
iudicium,2805,0.0007141451402614153,0.0007141451402614156,-14.48884867721149
maxime,2804,0.0007138905430634612,0.0007138905430634611,-14.489561816816122
amicus,2803,0.000713635945865507,0.0007136359458655072,-14.490275210795506
duco,2758,0.0007021790719575698,0.0007021790719575698,-14.52264419641859
uox,2752,0.0007006514887698449,0.0007006514887698449,-14.526999915018616
sequor,2731,0.0006953049476128076,0.0006953049476128076,-14.542320070177674
eques,2703,0.0006881762260700911,0.0006881762260700911,-14.562931220572189
grauis,2697,0.0006866486428823661,0.0006866486428823663,-14.567375666845622
ergo,2693,0.0006856302540905495,0.0006856302540905497,-14.570344127501885
uiuo,2686,0.0006838480737048705,0.0006838480737048707,-14.575549558958716
longus,2627,0.000668826839025575,0.000668826839025575,-14.619970733754004
spes,2625,0.0006683176446296667,0.000668317644629667,-14.621493963073634
imperium,2616,0.0006660262698480793,0.0006660262698480795,-14.628362887970905
caesar,2573,0.0006550785903360505,0.0006550785903360506,-14.661510688561595
aqua,2559,0.0006515142295646923,0.0006515142295646922,-14.672422640805506
superus,2546,0.0006482044659912882,0.0006482044659912882,-14.68260875489038
paruus,2533,0.0006448947024178841,0.0006448947024178843,-14.692847013121733
mare,2512,0.0006395481612608468,0.0006395481612608469,-14.709497257948904
oratio,2503,0.0006372567864792593,0.0006372567864792595,-14.716675730261535
cura,2498,0.0006359838004894886,0.0006359838004894884,-14.720674931754038
labor,2498,0.0006359838004894886,0.0006359838004894886,-14.720674931754036
moueo,2484,0.0006324194397181303,0.0006324194397181305,-14.731915427018345
liceo,2481,0.0006316556481242679,0.0006316556481242681,-14.73433234574148
patior,2474,0.0006298734677385887,0.0006298734677385887,-14.739983207220217
honor,2471,0.0006291096761447262,0.0006291096761447265,-14.742409901147862
iudex,2468,0.0006283458845508639,0.0006283458845508641,-14.744839543074526
ars,2439,0.0006209625658101932,0.0006209625658101934,-14.768479516693242
oculus,2431,0.00061892578822656,0.0006189257882265601,-14.775050364492836
quoque,2416,0.0006151068302572475,0.0006151068302572477,-14.787429195015672
simul,2413,0.000614343038663385,0.0006143430386633849,-14.78991418187502
mens,2410,0.0006135792470695226,0.0006135792470695228,-14.792402260155681
uester,2403,0.0006117970666838435,0.0006117970666838437,-14.798219841652145
frater,2400,0.000611033275089981,0.000611033275089981,-14.80071828045301
gens,2391,0.0006087419003083936,0.0006087419003083939,-14.808232378208434
legatus,2391,0.0006087419003083936,0.0006087419003083937,-14.808232378208434
summa,2380,0.0006059413311308978,0.0006059413311308981,-14.817454779794042
sententia,2372,0.0006039045535472646,0.0006039045535472648,-14.824188792889851
aliqui,2366,0.0006023769703595396,0.0006023769703595396,-14.82925422404842
certus,2357,0.0006000855955779522,0.0006000855955779522,-14.836876507252821
refero,2343,0.000596521234806594,0.0005965212348065942,-14.848791436109492
ciuis,2339,0.0005955028460147774,0.0005955028460147775,-14.852208779956724
uinco,2337,0.000594993651618869,0.0005949936516188693,-14.853919644047368
mater,2321,0.0005909200964516024,0.0005909200964516027,-14.86765950057621
prouincia,2280,0.000580481611335482,0.0005804816113354821,-14.90330486922811
reddo,2269,0.0005776810421579862,0.0005776810421579862,-14.9129773435654
os,2260,0.0005753896673763988,0.000575389667376399,-14.92092612859242
miser,2260,0.0005753896673763988,0.0005753896673763989,-14.92092612859242
talis,2240,0.0005702977234173156,0.0005702977234173157,-14.938704023426912
similis,2237,0.0005695339318234531,0.0005695339318234534,-14.941384390144824
nego,2234,0.0005687701402295907,0.0005687701402295908,-14.944068353866792
propter,2220,0.0005652057794582325,0.0005652057794582326,-14.956641363392432
princeps,2198,0.0005596046411032409,0.000559604641103241,-14.97656004319795
loquor,2192,0.000558077057915516,0.000558077057915516,-14.98202701698927
periculum,2181,0.0005552764887380203,0.0005552764887380202,-14.992088780721826
numerus,2178,0.0005545126971441578,0.000554512697144158,-14.99484170613927
bene,2169,0.0005522213223625703,0.0005522213223625703,-15.003123291471335
numquam,2168,0.0005519667251646162,0.0005519667251646163,-15.00404558800601
dolor,2165,0.0005512029335707537,0.0005512029335707536,-15.006815032251904
ordo,2152,0.0005478931699973497,0.0005478931699973498,-15.018860470561734
pes,2151,0.0005476385727993955,0.0005476385727993956,-15.019790054589622
usus,2150,0.0005473839756014413,0.0005473839756014413,-15.020720070881666
ignis,2141,0.0005450926008198539,0.0005450926008198538,-15.029109735945719
