,perc_known_unique_lemmata,perc_known_words,page_known_lemmata_mean,page_known_lemmata_std,page_known_words_mean,page_known_words_std
curtius,0.019639187029002057,0.6308945565283594,0.020712491436401005,0.0012510021397398798,0.6455904465589171,0.04594978078269383
germanicus,0.05555555555555555,0.5038937242327073,0.05362318840579709,0.005463186941606239,0.4981824005788094,0.04743042385876151
carmina_pripea,0.06144256455921639,0.5852505515285219,0.06242208370436332,0.00588587813701184,0.5735407955476257,0.04034780927308052
pliny_younger,0.0182370820668693,0.676601809393977,0.016546352583586627,0.0010993644601998696,0.6541769727219817,0.060634102571856065
pliny_maior,0.01582014987510408,0.594606619373656,0.011761032472939217,0.0044589476060297294,0.6132428269876617,0.07452907204933813
persius,0.0428226779252111,0.5022538552787663,0.04203860072376357,0.004848030510038258,0.5033433603925838,0.053796740576907094
quintilian_inst,0.014942719574962644,0.7182967125282357,0.015391001162211523,0.0006927659320944735,0.7401464933761918,0.0242139391975631
asconius,0.03510531594784353,0.6971135729896751,0.037011033099297895,0.002295992606270732,0.7102004505610645,0.03675776598879507
valerius_flaccus,0.021082621082621083,0.5287153048378395,0.022535612535612533,0.002494952331502157,0.5858278191167752,0.0495553622126853
calpurnius_siculus,0.04158907510862818,0.5135532674931709,0.045499689633767854,0.0061765219598290495,0.49091952476845746,0.05968792253736535
quintilian_decl_mai,0.021185372005044136,0.6511546695413206,0.021773854560739807,0.0015132408575031522,0.649876711324245,0.03186786722326634
ovid,0.013536121673003802,0.6021411491561411,0.011711026615969582,0.001086148810424768,0.6139419757000633,0.05768048560545912
manilius,0.02303070761014686,0.5946448637966443,0.024866488651535384,0.0034695294369727543,0.5860997769962816,0.07048359776646541
cicero,0.008560677328316087,0.7414086976125878,0.008174976481655691,0.000932655816421758,0.7655850570349916,0.053991625239255506
sallust,0.032892384697890596,0.6928520877565464,0.03396496245977833,0.0018300298737318167,0.7059772514593832,0.03788580151634956
propertius,0.024893746205221615,0.5808897655051501,0.022131147540983602,0.003451905301397542,0.6342948794809129,0.047043745319138776
petronius,0.014963759644610709,0.5922126706638734,0.01636661211129296,0.002044991312197323,0.5046222292706455,0.046253733358571456
tibullus,0.026233881725211204,0.5499553172475424,0.03103601600711427,0.004035233901125274,0.5623585846828133,0.053216157709193655
vellius,0.026072607260726074,0.6338565351327563,0.024587458745874587,0.0032176102156056376,0.6057127031441132,0.03659070344031962
tacitus,0.012368583797155226,0.5841052518985987,0.013017934446505874,0.0012189488772063712,0.5663895536097824,0.04125902728117942
columella,0.009194673430564362,0.5492002701227578,0.011398224476854787,0.0013253049973701244,0.5603873410155887,0.0476886910624124
suplpicia,0.43478260869565216,0.6557377049180327,0.4521739130434783,0.013832954938708134,0.6488970115409348,0.015696720057193466
varro,0.015577507598784195,0.6786972201563224,0.012879939209726446,0.001744827128146662,0.7018445419970212,0.07614556120165013
martial,0.009898859479233914,0.5852595114376157,0.013234344738540996,0.001965805283685695,0.6056255569147707,0.058967458775536226
lucan,0.012204828867073494,0.5612115908206924,0.013690634120456355,0.0021496024516348203,0.49321761574725087,0.04544976979318648
vitruvius,0.017263264788017263,0.6021115515395165,0.016019294237116018,0.0019013266659916503,0.6085686213357383,0.046490128961627145
