,perc_known_unique_lemmata,perc_known_words,page_known_lemmata_mean,page_known_lemmata_std,page_known_words_mean,page_known_words_std
cato,0.025974025974025976,0.5551775147928995,0.02866419294990724,0.003238792254192224,0.6232549874909113,0.06295290990720302
livy,0.010522109749600427,0.6731731884500336,0.010708577517314865,0.0011811294234094496,0.6794079750801063,0.051924353399659354
apuleius,0.007982767359351241,0.5556073299922972,0.008869741510390269,0.000910201976485959,0.5231736340516833,0.06924676318811597
vergil,0.01580651304513426,0.5342780135030555,0.01100742715673205,0.0035595456842372353,0.5043843066665834,0.08184709511395974
horace,0.013447671019294484,0.5414447731755424,0.012901968427207172,0.0022891517224753106,0.5289612679052763,0.05035219077340118
grattius,0.050955414012738856,0.5464649583204693,0.0589171974522293,0.006289304986666081,0.5489056545106227,0.04763849580734624
statius,0.012197410395946707,0.4913207195234265,0.013642334396697316,0.0015013370192508628,0.5190149173917747,0.05469327352819685
nepos,0.03495007132667618,0.7224259089520317,0.03138373751783167,0.002198435807050277,0.7315491982458509,0.02494538071013587
juvenal,0.017435897435897435,0.559041301091376,0.019846153846153847,0.00231962725700485,0.5618553733050173,0.04833665945208887
frontinus,0.023358065402583127,0.6073007778459155,0.018686452322066498,0.002829247084635065,0.6152361741708255,0.023068038734537034
valerius_maximus,0.0158496129745669,0.5992736419648409,0.015812753409509765,0.0013284792695127242,0.590665566211975,0.04604987096484409
pomponius_mela,0.03133903133903134,0.617860249347637,0.032573599240265906,0.0030640580826024073,0.5931715355093055,0.023935377882773196
silius,0.013547840812870448,0.4900745857155295,0.014204064352243858,0.0023062011054638875,0.48187504367223594,0.08672314331406186
corpus_caesarianum,0.02539464653397392,0.6703871322854871,0.02759094028826356,0.0031720576549873285,0.6784909886392294,0.02846407882222058
suetonius,0.014077897700610043,0.5719583339614394,0.01282652901611137,0.0010739974383319182,0.5932263681436752,0.029365011199866682
hyginus,0.018921813637986434,0.6715210355987055,0.024205640842556227,0.004892022315733135,0.6507009986647538,0.039978942578923225
seneca_maior,0.01844532279314888,0.6852637373312178,0.017698726394378566,0.0014704144965114803,0.6626954548086259,0.06773425700961086
sen,0.010736944851146901,0.6634389584383162,0.009797462176671549,0.0007522236526011885,0.6668588846396521,0.03655498934898313
caesar,0.02356241234221599,0.6945741039350477,0.023281907433380083,0.0022086978608728785,0.6883738891647698,0.04811747550319866
catullus,0.02815884476534296,0.5813665621389669,0.026462093862815884,0.0021543001801928806,0.5804702611326338,0.07449209029905558
ilias_latina,0.059682539682539684,0.5326702109415195,0.050095238095238095,0.006053095050267982,0.5442171033806058,0.04698992633825082
aug_res_gestae,0.10318664643399089,0.6400409626216078,0.09863429438543247,0.013246223273320298,0.6867626957228773,0.03897175815497391
