,count
spatium,1202
cursus,1202
rursus,1195
amo,1195
foedus,1191
cupio,1188
confero,1187
desum,1186
uxor,1181
murus,1180
uoluntas,1173
amicitia,1171
plenus,1171
dubito,1169
quicumque,1167
concedo,1166
censeo,1161
motus,1159
excipio,1158
cerno,1158
regio,1157
iungo,1157
sapio,1157
quare,1156
tandem,1155
perdo,1154
durus,1153
premo,1144
constituo,1144
postea,1144
quid,1144
magistratus,1143
mox,1141
aer,1135
minor,1133
ideo,1131
pertineo,1130
tristis,1128
carmen,1128
procul,1122
quamuis,1122
forma,1119
cogito,1116
saeuus,1114
impono,1113
retineo,1112
sicut,1110
certamen,1110
iustus,1107
ora,1107
inimicus,1094
diuido,1092
opera,1091
statim,1090
occupo,1088
lumen,1087
tectum,1086
sustineo,1084
accido,1080
turba,1079
dextra,1076
uarius,1075
porta,1070
umbra,1067
regius,1066
spero,1066
necessarius,1062
misceo,1061
coniunx,1060
praeda,1058
conficio,1058
scriptum,1057
falsus,1050
lacrima,1048
diuersus,1048
turpis,1047
transeo,1046
dimitto,1042
uniuersus,1042
proximus,1038
reus,1036
tergum,1035
propono,1033
postulo,1029
auris,1028
colo,1021
contineo,1012
armatus,1009
miror,1008
membrum,1007
exigo,1006
praebeo,1005
arbor,1004
proprius,1003
noceo,1002
antiquus,1002
silua,1000
mora,1000
facilis,997
uisum,996
perficio,993
plerus,991
deduco,991
queror,986
testis,986
defero,984
pecus,982
interficio,980
appareo,978
flamma,976
fingo,976
saxum,975
patrius,975
intra,971
reperio,968
contingo,968
uotum,968
forte,966
omnino,966
amnis,965
proficiscor,963
disco,962
praesens,961
seu,961
clamor,960
odium,959
numen,957
suscipio,956
scipio,953
interim,951
secor,947
aufero,947
beatus,947
taceo,946
namque,945
sedes,943
inuidia,943
paene,942
quattuor,942
quaestio,938
praeterea,937
curo,936
intersum,936
materia,935
nota,935
propior,933
iuuo,932
frango,929
nascor,926
fallo,921
negotium,921
felix,920
nimius,916
rapio,915
acer,914
gaudeo,914
magnitudo,913
subeo,912
nondum,911
imago,911
exeo,905
religio,904
decerno,899
cornu,895
ciuilis,895
aliquando,892
mereo,889
soror,889
morior,887
iugum,884
filia,884
uerto,882
quando,879
uirgo,876
turbo,874
abeo,873
accuso,873
cohors,871
uter,870
incipio,869
mensis,868
puella,867
forum,865
aliter,864
tempto,863
augeo,863
consuetudo,861
sensus,860
suspicio,859
male,859
desidero,858
incertus,856
remitto,855
facies,854
praemium,851
fera,849
comes,846
iuppiter,845
opto,844
consulatus,842
statuo,839
memini,839
opinio,839
discedo,838
initium,837
creo,837
epistula,836
condicio,835
aspicio,832
prohibeo,831
color,830
repeto,828
fateor,826
integer,825
spiritus,824
soluo,824
prosum,823
impero,821
diuinus,821
sinus,820
contio,819
pudor,818
somnus,816
aequor,816
incido,815
nescio,815
priuatus,814
uinum,813
nosco,812
utilis,812
italia,812
metuo,808
difficilis,807
careo,807
secum,806
diuus,806
mulier,805
nobilis,804
nuntio,801
fructus,801
mollis,801
profectus,799
femina,798
etsi,797
quemadmodum,797
uestis,796
adhibeo,796
sedeo,796
permitto,795
carus,795
consequor,794
conuerto,791
frumentum,789
iterum,788
uersus,788
comparo,787
reuertor,786
pariter,785
timor,785
meritum,784
expono,783
pondus,783
quippe,782
precor,782
graecus,782
uereor,781
frons,781
ludus,781
tyrannus,780
recte,780
infero,779
dulcis,779
posco,778
furor,778
maritus,777
arx,773
opprimo,773
aptus,773
committo,771
reuoco,771
cupiditas,770
mando,769
immortalis,768
dea,768
undique,767
extra,766
brutus,762
pulcher,759
familia,759
tueor,758
consultum,758
quinque,756
nescius,755
fons,752
consulo,752
sors,751
status,751
familiaris,751
contentus,750
antonius,749
tempestas,746
tellus,746
colloco,745
sex,744
transfero,744
prex,741
sal,741
amplus,740
huc,740
procedo,739
expedio,739
pretium,735
tendo,735
hora,735
adulescens,735
supersum,733
tego,733
moenia,729
claudo,728
effero,727
morbus,726
supplicium,725
contrarius,725
passus,723
insula,721
quondam,721
otium,721
protinus,720
pateo,720
uiuus,720
donum,716
omitto,716
fortasse,716
portus,715
impedio,712
deficio,711
commodus,710
lingua,709
uenenum,709
anima,709
facinus,707
quies,707
comitium,707
gladius,706
uerum,706
ruo,705
uersor,705
occurro,703
obtineo,703
restituo,702
nuntius,702
nomino,702
spargo,702
culpa,702
clades,701
argumentum,701
ara,700
instruo,698
magister,698
ueto,698
frequens,697
libido,696
triumphus,696
sin,695
laboro,695
atticus,694
uestigium,693
recens,693
insignis,692
donec,691
fundo,691
praeceptum,691
perpetuus,690
supero,690
delecto,688
affectus,687
persequor,686
diligo,686
tenuis,686
instituo,686
animaduerto,686
semen,686
quotiens,685
pietas,685
desino,685
habitus,684
significo,684
quo,683
praeficio,682
contendo,682
utilitas,682
consularis,680
ratus,679
uinculum,679
mortalis,679
mecum,679
cito,678
ardeo,677
gradus,676
propinquus,675
ortus,675
torqueo,675
uisus,675
aedes,675
collega,675
cibus,674
decem,674
nubes,674
terror,673
actio,673
orior,672
libero,670
diues,669
diligens,668
compono,667
differo,667
inuitus,667
tener,666
sino,664
artus,663
exitus,663
principium,663
raptus,662
ultra,661
rarus,661
disciplina,660
aeger,659
antea,658
perfero,657
eloquentia,657
tumultus,656
fretus,655
decus,655
desero,654
semel,654
repente,652
amplius,652
aura,650
erro,649
funus,649
descendo,648
societas,647
eripio,647
euenio,645
obicio,644
necessitas,644
impello,644
excito,643
aduentus,643
error,643
tango,643
nudus,642
profero,642
exerceo,642
ripa,641
consumo,641
potens,641
tecum,641
tabula,640
laedo,639
ineo,638
pario,638
scilicet,637
offero,636
praecipio,636
uendo,636
tracto,636
haereo,635
silentium,635
barbarus,634
ignoro,634
insto,633
dono,633
quartus,633
ictus,632
eligo,630
decretum,630
praesertim,629
asper,628
planus,628
discrimen,627
pareo,627
foris,627
equidem,626
explico,626
robur,625
contemno,625
infelix,624
corrumpo,623
rumpo,623
dictator,622
militaris,621
gaudium,620
adiuuo,620
doleo,619
emo,618
gigno,617
oro,617
licet,617
impleo,616
bis,615
fluctus,612
detraho,611
iucundus,611
alo,607
surgo,607
ecce,607
amitto,606
aperto,606
poeta,606
stella,606
imito,605
hiems,605
humus,603
oppugno,603
fleo,602
subito,601
potis,601
hasta,600
agito,600
animal,600
exiguus,599
mirus,599
insidiae,598
acta,598
moneo,597
uacuus,597
olim,596
deprehendo,596
dexter,595
induco,594
sapientia,594
aduersarius,594
pontus,594
subitus,593
facultas,593
accusator,592
commoueo,590
fraus,589
praedico,588
infestus,586
tribuo,586
confirmo,585
figura,585
aureus,584
uehementer,584
uicinus,583
intro,580
currus,580
custos,579
pello,578
moror,577
lateo,577
immo,575
iniquus,574
cn,574
praeceps,573
profecto,573
ignotus,572
frustra,572
geminus,572
ensis,572
improbus,571
colligo,570
rego,569
conspectus,568
cultus,568
argentum,568
herba,568
narro,567
centum,566
gallus,566
missa,565
uicis,564
inanis,564
laeuus,563
iussus,563
mortuus,563
iacto,562
fulmen,562
astrum,562
secundum,562
uallum,560
firmus,560
obscurus,558
coma,557
figo,557
corona,556
captiuus,551
damnatus,551
aduersum,551
auis,550
reprehendo,549
actus,548
interrogo,547
pius,547
finio,546
interdum,546
cogitatio,544
hannibal,544
sane,542
crudelis,542
collum,541
promitto,540
nuper,539
polliceor,537
controuersia,537
admoueo,536
sufficio,536
ualidus,535
aeque,533
plerumque,532
onus,531
solutus,531
limen,531
recingo,531
castra,530
neue,530
creber,529
uanus,529
equitatus,529
traicio,529
uito,529
uictus,528
etenim,528
uale,528
persona,528
condo,526
dedo,525
ceruix,525
luna,525
taurus,525
suadeo,524
odi,524
respicio,524
utique,523
philosophus,523
aestimo,522
dispono,522
secerno,522
superbus,521
crassus,520
coniunctus,519
nitor,519
confiteor,517
egregius,517
uilla,517
moles,515
scientia,514
palam,513
emitto,512
senectus,512
circum,512
erigo,511
caecus,511
obsideo,510
urgeo,510
hospes,510
nepos,510
orno,509
cotidie,508
testimonium,508
ni,507
colonia,507
flecto,507
uindico,504
conor,504
perduco,503
hortor,503
cresco,503
umerus,503
nimis,503
hispania,503
seruio,502
lapis,502
luctus,502
quot,501
malum,501
saeculum,501
sinister,501
insequor,500
securus,500
indignus,500
minuo,500
perago,500
inuado,499
caesum,499
praesum,498
nemus,498
uertex,498
libenter,498
claudius,498
perspicio,497
sero,497
bos,497
experior,496
tenebrae,496
reduco,496
tardus,496
recedo,495
includo,495
angustus,495
nefas,495
fax,495
uitis,495
uastus,494
custodia,494
exsisto,494
fames,494
caueo,494
neglego,494
condio,493
noto,493
fessus,493
excedo,492
popularis,492
cano,492
notus,491
leuo,490
acceptum,490
iuro,490
sanus,488
aggredior,488
latro,487
sonus,486
impetro,486
nata,486
missus,485
sacerdos,485
quomodo,485
demonstro,485
recuso,484
effugio,484
ter,484
conspicio,483
externus,483
prodo,483
absoluo,483
maestus,483
uaco,483
aeternus,482
exprimo,481
trepidus,481
heres,480
dirus,480
educo,479
decedo,479
digitus,479
diligentia,479
peditum,477
modicus,477
excutio,477
canis,477
mitis,476
sublatus,476
insum,476
ratis,475
irascor,475
uiso,474
responsum,473
niger,473
incendium,472
praecipue,472
grandis,472
parco,471
fluo,471
centurio,471
s,471
adduco,470
concito,470
numero,470
institutum,470
postremo,470
quiesco,469
collis,469
exsilium,469
amissum,468
celeriter,468
aperio,467
ignarus,467
grex,467
statio,467
iuuentus,467
pasco,467
uenus,466
persuadeo,466
lectus,464
imber,463
lacus,463
urbanus,463
similitudo,463
acerbus,462
hibernus,462
aditus,461
altitudo,461
subicio,461
caedo,461
optime,461
requiro,460
ferox,460
bibo,460
minime,458
torus,458
audacia,457
obsto,456
flos,456
paternus,456
uiginti,456
harena,455
monumentum,455
saluus,455
frigus,454
interea,454
resto,454
sono,454
passim,453
munio,453
decipio,453
egeo,453
ualetudo,452
septem,451
contentio,451
consisto,450
aeuum,450
ceterum,449
puppis,449
resisto,449
curia,449
philosophia,449
serus,448
furo,447
agnosco,446
curro,446
conseruo,446
fas,446
disputo,446
cornelius,446
seditio,445
auerto,445
diuitia,445
ruina,444
certo,444
interuallum,443
militia,443
uenia,443
ater,443
medicus,442
occasio,442
spectaculum,442
domesticus,442
ualde,442
prudentia,442
praetereo,441
legatio,441
deligo,440
simulo,439
recito,438
uagus,438
caelestis,438
senator,438
ueho,437
conuiuium,437
tormentum,437
ignosco,437
cruor,436
augustus,436
effusus,435
compositus,435
bracchium,434
adimo,433
habito,433
fruor,433
singularis,433
pauper,433
cumque,432
rusticus,432
celebro,431
uelum,431
obuius,431
manifestus,431
indico,430
occulo,430
calamitas,430
maiestas,430
attingo,430
euado,429
admitto,429
utinam,428
mensa,427
damnum,426
ferus,425
philippus,424
praeclarus,424
uates,423
remedium,423
uiolo,423
quantum,423
defensio,423
aestas,423
commendo,423
concipio,422
iro,422
iuxta,422
admoneo,421
expello,420
stultus,420
domina,420
inicio,419
obruo,419
tumulus,419
extemplo,419
rideo,419
praecipuus,418
uerro,417
radix,417
pergo,417
auspicium,417
siccus,417
depono,417
fundus,417
libet,417
offendo,417
indicium,416
aequo,416
ala,416
pelagus,416
comprehendo,415
ferme,415
memor,415
aliquot,415
censor,415
nocturnus,414
capillus,414
cor,413
propero,413
publice,413
gemitus,412
euentus,411
incendo,411
reditus,411
africa,411
idoneus,410
memoro,409
immensus,409
decet,409
arcus,409
crinis,409
pecco,409
turris,408
celer,408
repello,407
placidus,407
ambo,407
frigidus,406
nonne,405
intentus,404
succedo,404
humilis,404
albus,403
pendeo,402
ingratus,402
possideo,402
rus,402
seuerus,402
nihilum,401
grauitas,401
demum,400
complector,400
quintus,400
nonnullus,400
dens,400
ramus,399
prodeo,399
incredibilis,399
immanis,399
coeptum,399
edictum,399
constitutum,399
oporteo,399
fiducia,398
porto,398
simplex,398
temere,397
merces,397
densus,397
libertus,397
cesso,396
potentia,396
late,396
fabius,396
conscius,395
afficio,395
auus,395
maturus,394
dissimilis,394
comperio,393
audax,393
abicio,390
bonum,390
saltus,389
origo,389
profiteor,388
obseruo,388
purus,388
conscribo,388
totidem,387
egredior,387
ferio,387
piscis,387
statua,387
expeto,386
erga,386
contumelia,386
fabula,386
monstrum,386
gener,385
terreo,384
sollicitus,384
eadem,384
naturalis,384
libellus,384
innocens,383
aether,383
stirps,382
arduus,382
incolumis,382
interior,381
opinor,381
iustitia,380
assequor,379
assentio,379
concilium,379
summitto,379
prouideo,379
ornamentum,379
priuo,379
quaestor,379
exploro,378
cena,378
sulla,378
marcellus,378
iacio,377
consido,377
nobilitas,377
cupidus,377
laetitia,377
candidus,376
castellum,376
etiamsi,376
diligenter,376
aestus,375
concurro,374
patronus,374
editus,373
penitus,373
continuo,373
uere,373
coeo,372
arbitrium,372
cauus,372
ueritas,372
auaritia,371
percutio,371
suspicor,371
circulus,371
praefero,370
uulgus,370
lentus,370
paries,370
auidus,369
constantia,369
produco,369
confido,369
latinus,369
damno,368
crudelitas,368
penna,368
rogus,368
suspendo,367
uulgo,366
carcer,366
nummus,366
assiduus,366
pontifex,366
uincio,365
supplex,365
multo,365
dissero,365
pudet,364
inopia,363
remotus,363
illustris,363
uiscus,363
duplex,363
captus,362
fusus,362
letum,362
impius,361
redimo,361
insero,361
testamentum,361
heu,361
affirmo,360
sagitta,360
natio,360
effundo,360
coniungo,360
palus,360
haurio,359
inuisus,359
quisnam,359
desiderium,358
triginta,358
incommodus,358
scriba,358
sperno,357
uro,357
priusquam,357
seruitus,357
hodie,357
en,357
immineo,356
rudis,356
commeatus,355
medium,355
aduerto,355
potior,355
proicio,355
erumpo,354
consensus,354
faux,353
cingo,353
uber,353
testor,353
propius,352
praeparo,351
conatus,351
illic,351
promptus,350
uiridis,350
ludo,350
fatigo,349
prudens,349
luxuria,348
incito,348
partus,348
umor,348
misericordia,347
utrimque,347
lenis,347
fulgeo,347
exsul,347
solacium,346
hortus,346
sublimis,346
faueo,346
cruentus,346
cassius,346
dimico,345
felicitas,345
redigo,345
humanitas,345
blandus,345
tempore,345
repono,345
pons,344
spolium,344
pronuntio,343
abduco,343
pingo,343
ardor,342
sordidus,342
considero,342
rumor,342
equester,342
ingredior,341
circumdo,341
sponte,341
regno,340
licentia,340
dissimulo,340
acuo,340
hercule,339
exitium,339
columna,339
graecia,339
praeteritus,338
capto,338
momentum,338
subsidium,338
tantum,338
tremo,338
antequam,337
leo,337
desertum,336
admodum,336
omen,336
quaeso,336
caelus,336
exorior,336
dilectus,335
porro,335
totiens,335
molior,334
promissum,334
fidus,334
puluis,334
excido,334
uetustas,333
spolio,333
molestus,333
percipio,332
custodio,332
infinitus,332
mentior,332
adipiscor,332
paulatim,331
rupes,331
adiungo,331
possessio,331
abdico,331
osculum,331
uilis,329
cupido,329
floreo,328
calidus,328
appeto,327
dictus,327
pinguis,327
excludo,327
tero,327
pauor,326
segnis,326
paeniteo,326
timidus,326
cantus,326
mergo,326
ultro,326
clamo,326
duro,325
nauigo,325
colonus,325
cinis,325
conicio,325
praetorius,324
coram,324
monstro,323
carpo,323
subigo,322
attono,322
stipendium,322
prospicio,322
uallis,321
firmo,321
reficio,321
gelidus,321
profundus,320
parricidium,320
calor,320
pronus,320
deleo,320
laeto,320
marius,320
compello,320
sumptus,320
mutuus,319
abstineo,319
contraho,318
simulacrum,318
commemoro,318
catus,318
loco,317
uehemens,317
aequalis,317
nefarius,317
horridus,315
administro,315
complexus,314
pestis,314
furtum,314
castus,314
lis,314
confundo,313
erepo,313
fugo,313
rapidus,313
arcesso,312
conscientia,312
prorsus,312
paratus,312
prosequor,312
uarietas,312
solidus,312
toga,312
intueor,311
cubiculum,311
adductus,311
palma,311
latitudo,310
euerto,310
piso,310
situs,309
auersus,309
fossa,309
satio,309
nex,309
obses,308
patientia,308
flagitium,308
dolus,308
concordia,308
celsus,308
extinguo,306
epula,306
nusquam,306
ornatus,306
thalamus,306
remus,305
retro,305
ductus,305
idcirco,305
doctrina,305
formido,304
inclino,304
eicio,304
theatrum,304
expugno,303
maritimus,303
arguo,303
alioqui,303
dimidius,303
aerarius,303
census,303
concido,303
intendo,302
summoueo,302
plaga,302
inuideo,302
tutor,301
exercitatio,301
angustia,300
beneuolentia,300
frux,300
naualis,300
proficio,300
rostrum,300
genitor,300
gallius,300
clipeus,299
oriens,299
ambitus,299
fauor,299
iulius,299
diripio,298
coerceo,298
occasus,298
nouerca,298
solitudo,297
pulso,297
uexo,297
refert,297
alexander,296
praepono,296
progredior,296
admiror,296
signo,296
ductor,296
atrox,296
traduco,296
exhaurio,295
ducenti,295
sancio,295
uena,295
mediocris,295
suffragium,295
uocabulum,295
cunctor,294
stringo,294
continuus,294
titulus,294
prosperus,294
lucus,294
adulter,294
k,294
uigilia,293
hostilis,293
hospitium,293
mane,293
obsidio,292
genu,292
tribus,292
forsitan,291
ubique,291
eximo,291
tempero,291
circumeo,290
sterno,290
quoad,290
idus,290
nix,289
aedificium,289
mentio,289
declaro,289
nuptiae,289
festus,289
repugno,288
contemptus,288
sollicito,288
discordia,288
colloquium,288
deiectus,288
arceo,288
clausum,288
socer,288
pastor,288
forus,288
uoluo,287
pignus,286
celeritas,286
circumuenio,286
exsto,286
condemno,286
peregrinus,285
saltem,285
macedonia,285
agger,285
historia,285
compleo,284
neco,284
poculum,284
tueo,284
lepidus,284
pedes,283
destino,283
moene,283
expers,283
amplexus,283
formosus,283
cognitio,283
deditio,282
accendo,282
utrum,282
impedimentum,281
trepido,281
aequitas,281
disertus,281
decimus,281
praemitto,280
temeritas,280
agrestis,280
linquo,280
nequeo,280
reicio,280
amans,280
alternus,280
fetus,280
grauiter,279
seco,279
saeuio,279
uua,279
consuesco,279
permisceo,279
oppono,278
lacesso,278
seueritas,278
secus,277
caritas,277
